# Sundial demo flight log
# Synthetic L1850 two-stage-recovery profile, 50 Hz control loop
# Generated by examples/make_demo_log.py
# Time (s),state,altitude (m),velocity (m/s),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s),pressure (Pa),temperature (C),battery (V),gps_lat (deg),gps_lon (deg),gps_sats,rssi (dBm),mach,pyro_drogue,pyro_main
0.000,PAD,-0.101,0.202,-0.155,-0.134,10.125,1.45,7.36,-0.48,101315.1,21.47,8.3065,32.9402101,-106.9219807,11,-60.5,0.0000,0,0
0.020,PAD,0.048,-0.003,-0.179,-0.047,9.754,1.32,9.10,-2.50,101320.9,21.51,8.3065,32.9402107,-106.9219797,11,-62.0,0.0000,0,0
0.040,PAD,-0.115,-0.103,-0.076,-0.009,10.155,2.37,7.13,2.09,101325.7,21.62,8.3070,32.9402108,-106.9219795,11,-60.4,0.0000,0,0
0.060,PAD,-0.015,-0.003,-0.080,0.221,9.896,0.07,8.88,-2.98,101316.8,21.45,8.3133,32.9402104,-106.9219806,11,-60.6,0.0000,0,0
0.080,PAD,-0.110,-0.105,0.117,0.161,9.614,2.95,5.78,2.34,101314.4,21.41,8.3117,32.9402101,-106.9219801,11,-60.3,0.0000,0,0
0.100,PAD,0.077,0.055,0.052,0.127,9.915,-0.72,9.58,-0.34,101331.4,21.56,8.3041,32.9402096,-106.9219803,11,-63.4,0.0000,0,0
0.120,PAD,-0.077,-0.192,0.011,-0.130,9.418,2.18,7.55,0.54,101335.7,21.65,8.3102,32.9402091,-106.9219805,11,-61.1,0.0000,0,0
0.140,PAD,-0.012,-0.249,0.232,0.204,9.814,1.19,9.74,2.71,101330.8,21.52,8.3110,32.9402092,-106.9219790,11,-63.0,0.0000,0,0
0.160,PAD,0.048,-0.181,-0.006,-0.171,10.005,3.01,7.41,-0.33,101326.9,21.40,8.3076,32.9402109,-106.9219797,11,-61.8,0.0000,0,0
0.180,PAD,0.081,0.117,-0.241,0.124,9.702,0.61,7.10,2.81,101317.6,21.46,8.3141,32.9402101,-106.9219792,11,-62.7,0.0000,0,0
0.200,PAD,-0.067,0.222,0.001,0.037,9.716,4.78,9.10,-1.69,101330.0,21.57,8.3055,32.9402100,-106.9219794,11,-60.6,0.0000,0,0
0.220,PAD,-0.080,0.217,0.044,0.176,9.781,1.14,4.95,1.83,101334.4,21.44,8.3074,32.9402109,-106.9219806,11,-60.3,0.0000,0,0
0.240,PAD,-0.017,0.007,-0.151,-0.021,9.638,5.52,4.81,-1.32,101320.4,21.53,8.3152,32.9402099,-106.9219789,11,-60.7,0.0000,0,0
0.260,PAD,0.124,-0.160,0.018,-0.118,10.140,3.59,6.88,-1.39,101318.3,21.50,8.3056,32.9402091,-106.9219791,11,-62.9,0.0000,0,0
0.280,PAD,-0.049,0.129,0.037,-0.113,10.053,3.81,6.39,-1.69,101321.1,21.38,8.3055,32.9402092,-106.9219796,11,-62.3,0.0000,0,0
0.300,PAD,0.033,-0.005,-0.191,0.013,9.974,5.28,6.93,1.11,101315.2,21.46,8.3087,32.9402096,-106.9219802,11,-61.9,0.0000,0,0
0.320,PAD,-0.103,0.003,0.088,-0.164,10.073,1.85,6.80,1.17,101330.6,21.43,8.3150,32.9402100,-106.9219797,11,-63.3,0.0000,0,0
0.340,PAD,-0.119,-0.249,-0.110,-0.146,9.840,3.45,5.84,-2.47,101334.4,21.47,8.3109,32.9402110,-106.9219804,11,-63.4,0.0000,0,0
0.360,PAD,0.000,0.053,0.247,-0.185,9.558,5.95,4.89,-2.39,101334.1,21.60,8.3117,32.9402096,-106.9219789,11,-61.9,0.0000,0,0
0.380,PAD,-0.003,0.226,-0.192,-0.003,9.673,3.52,5.59,2.71,101317.6,21.41,8.3103,32.9402104,-106.9219793,11,-60.5,0.0000,0,0
0.400,PAD,-0.071,-0.099,0.228,-0.221,9.936,6.39,5.87,-1.62,101314.7,21.63,8.3041,32.9402103,-106.9219804,11,-61.4,0.0000,0,0
0.420,PAD,-0.046,-0.190,0.087,-0.100,9.960,3.29,4.73,1.45,101318.3,21.40,8.3107,32.9402106,-106.9219791,11,-63.1,0.0000,0,0
0.440,PAD,0.047,-0.122,-0.102,0.123,9.570,4.51,6.15,-2.34,101325.7,21.62,8.3036,32.9402104,-106.9219790,11,-62.2,0.0000,0,0
0.460,PAD,0.024,0.093,-0.047,0.001,9.678,6.90,3.48,0.27,101322.4,21.62,8.3094,32.9402100,-106.9219795,11,-62.4,0.0000,0,0
0.480,PAD,-0.089,0.142,0.043,-0.151,10.090,7.51,5.43,-0.92,101331.4,21.60,8.3119,32.9402098,-106.9219803,11,-61.4,0.0000,0,0
0.500,PAD,0.004,0.043,0.146,-0.066,9.585,3.91,2.92,0.90,101327.5,21.37,8.3120,32.9402098,-106.9219797,11,-60.5,0.0000,0,0
0.520,PAD,0.118,0.034,-0.196,-0.189,10.144,5.03,4.50,-1.28,101322.1,21.39,8.3099,32.9402092,-106.9219786,11,-60.5,0.0000,0,0
0.540,PAD,0.026,-0.088,-0.072,-0.248,9.888,6.69,2.47,1.93,101329.5,21.42,8.3060,32.9402094,-106.9219796,11,-62.0,0.0000,0,0
0.560,PAD,0.019,0.134,-0.192,0.012,9.711,8.94,1.78,1.51,101326.3,21.50,8.3049,32.9402096,-106.9219798,11,-61.8,0.0000,0,0
0.580,PAD,0.102,0.079,0.177,0.250,9.894,7.32,2.85,0.12,101319.5,21.35,8.3092,32.9402093,-106.9219789,11,-61.7,0.0000,0,0
0.600,PAD,-0.123,-0.061,0.162,-0.148,9.857,5.71,3.37,-2.43,101332.1,21.60,8.3122,32.9402103,-106.9219787,11,-60.7,0.0000,0,0
0.620,PAD,0.122,0.175,-0.054,-0.154,9.478,8.72,1.02,2.58,101332.3,21.39,8.3084,32.9402097,-106.9219791,11,-63.2,0.0000,0,0
0.640,PAD,0.123,-0.219,-0.218,0.237,10.030,6.00,1.67,-0.51,101326.1,21.61,8.3129,32.9402093,-106.9219790,11,-60.8,0.0000,0,0
0.660,PAD,-0.008,-0.247,-0.151,0.094,9.575,5.76,0.80,2.32,101330.7,21.40,8.3117,32.9402104,-106.9219793,11,-60.7,0.0000,0,0
0.680,PAD,0.035,0.070,0.186,-0.120,10.067,7.43,1.40,0.94,101329.7,21.47,8.3088,32.9402095,-106.9219788,11,-60.4,0.0000,0,0
0.700,PAD,0.064,-0.229,-0.029,0.143,10.006,5.76,0.79,-0.10,101324.5,21.45,8.3108,32.9402104,-106.9219798,11,-63.1,0.0000,0,0
0.720,PAD,0.020,0.138,0.222,0.219,9.763,5.83,2.56,-1.19,101335.0,21.36,8.3057,32.9402107,-106.9219783,11,-60.5,0.0000,0,0
0.740,PAD,-0.013,0.019,-0.229,0.075,9.826,9.83,-0.66,1.15,101315.1,21.54,8.3110,32.9402098,-106.9219783,11,-62.7,0.0000,0,0
0.760,PAD,-0.069,-0.234,0.010,-0.203,9.443,10.18,2.61,-2.05,101318.5,21.52,8.3092,32.9402096,-106.9219795,11,-61.3,0.0000,0,0
0.780,PAD,-0.056,-0.070,0.065,0.023,9.725,9.56,1.32,-0.79,101320.2,21.42,8.3106,32.9402101,-106.9219792,11,-61.9,0.0000,0,0
0.800,PAD,0.001,0.182,-0.005,0.163,10.068,8.15,0.05,0.74,101327.2,21.53,8.3040,32.9402098,-106.9219796,11,-61.1,0.0000,0,0
0.820,PAD,0.088,-0.166,-0.066,-0.228,9.486,8.39,1.17,0.52,101329.9,21.64,8.3136,32.9402104,-106.9219796,11,-63.3,0.0000,0,0
0.840,PAD,-0.077,-0.074,-0.077,0.032,9.922,9.04,-2.05,1.59,101335.9,21.40,8.3061,32.9402104,-106.9219790,11,-63.1,0.0000,0,0
0.860,PAD,0.024,0.208,0.235,0.034,9.568,8.38,-2.28,0.72,101320.8,21.44,8.3110,32.9402092,-106.9219796,11,-62.1,0.0000,0,0
0.880,PAD,-0.108,-0.080,0.102,0.093,9.421,5.64,-3.25,2.74,101317.7,21.65,8.3027,32.9402101,-106.9219778,11,-62.1,0.0000,0,0
0.900,PAD,0.056,-0.009,0.188,-0.150,9.467,9.78,-3.00,1.69,101324.7,21.55,8.3070,32.9402104,-106.9219789,11,-60.5,0.0000,0,0
0.920,PAD,0.116,0.182,-0.064,0.184,10.135,10.47,0.87,0.36,101327.3,21.41,8.3131,32.9402099,-106.9219795,11,-63.7,0.0000,0,0
0.940,PAD,0.113,0.093,0.177,-0.220,9.453,7.36,-1.63,-0.85,101336.0,21.39,8.3067,32.9402100,-106.9219783,11,-61.0,0.0000,0,0
0.960,PAD,0.104,-0.174,-0.245,0.131,9.495,8.77,-0.34,2.17,101331.5,21.62,8.3035,32.9402093,-106.9219794,11,-61.5,0.0000,0,0
0.980,PAD,0.011,-0.226,-0.095,0.250,9.963,9.50,-0.32,0.48,101314.6,21.61,8.3123,32.9402093,-106.9219789,11,-61.5,0.0000,0,0
1.000,PAD,-0.073,0.103,0.221,-0.052,9.526,7.87,-2.49,1.07,101317.9,21.49,8.3055,32.9402110,-106.9219778,11,-60.9,0.0000,0,0
1.020,PAD,-0.011,0.031,0.025,-0.208,9.672,8.63,-0.74,-2.90,101330.1,21.59,8.3132,32.9402101,-106.9219780,11,-62.2,0.0000,0,0
1.040,PAD,0.065,0.030,-0.095,-0.049,9.588,10.07,-3.04,-2.19,101325.2,21.61,8.3062,32.9402093,-106.9219788,11,-62.2,0.0000,0,0
1.060,PAD,-0.115,0.064,0.235,0.236,9.632,8.66,-1.50,0.84,101316.6,21.36,8.3056,32.9402098,-106.9219783,11,-60.9,0.0000,0,0
1.080,PAD,-0.018,-0.043,0.161,-0.035,10.037,6.83,-5.58,2.57,101322.8,21.65,8.3109,32.9402104,-106.9219775,11,-62.4,0.0000,0,0
1.100,PAD,0.040,-0.230,-0.238,-0.249,10.158,7.16,-4.11,-0.05,101332.7,21.46,8.3070,32.9402092,-106.9219776,11,-60.6,0.0000,0,0
1.120,PAD,-0.018,0.108,0.144,-0.113,9.646,8.39,-5.78,-1.57,101314.2,21.42,8.3024,32.9402094,-106.9219782,11,-60.3,0.0000,0,0
1.140,PAD,-0.112,-0.215,0.151,-0.132,10.070,8.77,-5.86,2.82,101315.1,21.49,8.3119,32.9402092,-106.9219793,11,-60.9,0.0000,0,0
1.160,PAD,0.075,-0.112,-0.191,-0.137,9.504,5.17,-5.75,2.16,101316.0,21.59,8.3058,32.9402096,-106.9219789,11,-60.8,0.0000,0,0
1.180,PAD,0.109,-0.223,0.093,-0.076,9.489,6.28,-6.38,-1.83,101334.1,21.38,8.3110,32.9402093,-106.9219783,11,-61.4,0.0000,0,0
1.200,PAD,0.027,-0.025,0.157,0.112,9.535,7.64,-7.37,2.15,101324.6,21.46,8.3122,32.9402092,-106.9219789,11,-63.6,0.0000,0,0
1.220,PAD,-0.120,0.059,-0.062,-0.022,9.666,6.95,-5.35,-0.68,101325.6,21.57,8.3017,32.9402100,-106.9219786,11,-61.5,0.0000,0,0
1.240,PAD,-0.051,-0.052,-0.228,-0.161,9.448,5.53,-6.53,2.95,101322.7,21.61,8.3112,32.9402105,-106.9219779,11,-62.9,0.0000,0,0
1.260,PAD,0.067,-0.130,0.180,-0.209,9.426,5.74,-4.79,1.88,101322.4,21.36,8.3107,32.9402109,-106.9219789,11,-63.0,0.0000,0,0
1.280,PAD,-0.096,0.039,0.118,-0.233,9.678,6.80,-6.32,1.27,101331.9,21.45,8.3125,32.9402107,-106.9219775,11,-63.3,0.0000,0,0
1.300,PAD,0.084,-0.007,-0.242,0.205,10.033,6.07,-7.91,3.00,101318.6,21.45,8.3122,32.9402095,-106.9219772,11,-61.5,0.0000,0,0
1.320,PAD,-0.020,-0.080,0.063,-0.084,10.104,5.28,-8.66,-2.77,101318.5,21.36,8.3025,32.9402096,-106.9219786,11,-62.6,0.0000,0,0
1.340,PAD,0.107,-0.190,0.206,-0.219,9.799,3.77,-4.70,1.49,101330.2,21.39,8.3048,32.9402092,-106.9219789,11,-62.2,0.0000,0,0
